Spot	Secondary forest	X	Y
FLm0006x	0	182960.8273	9736088.586
FLm0007x	0	183211.5959	9735719.53
FLm0008x	0	182695.8642	9735676.947
FLm0009x	0	183183.207	9735918.253
FLm0010x	0	182516.0678	9735596.512
GAm0001x	0	183048.963	9730967.769
GAm0002x	0	183343.469	9731546.679
GAm0003x	0	183408.578	9732236.28
GAm0004x	0	183575.018	9732881.405
GAm0005x	0	183731.37	9733388.06
GAm0006x	0	183904.984	9733861.863
GAm0007x	0	184367.858	9733916.1
GAm0008x	0	184808.137	9733977.011
GAm0009x	0	185426.066	9734024.22
GAm0010x	0	185263.245	9733273.296
GAm0011x	0	184850.401	9733072.556
GAm0012x	0	184428.7198	9733026.684
GAm0013x	0	183974.5404	9732968.842
GAm0014x	0	185077.219	9732693.185
GAm0015x	0	184819.392	9731986.065
GAm0016x	0	184481.01	9731491.875
GAm0017x	0	183898.081	9731480.076
GAm0018x	0	182926.264	9731603.958
GAm0019x	0	182769.067	9731974.572
GAm0020x	0	182950.2165	9731423.368
GAm0021x	0	183527.7532	9731809.28
GAm0022x	0	182713.3466	9732051.472
GAm0023x	0	182739.9612	9731777.342
GAm0024x	0	182939.5706	9731891.785
PAc0001x	1	169641.966	9736717.994
PAc0002x	1	168732.951	9736569.579
PAc0003x	1	168074.371	9736719.313
PAc0004x	1	167317.0989	9736752.807
PAc0005x	1	167678.3236	9737229.082
PAc0006x	1	168445.115	9737869.664
PAc0007x	1	168806.311	9737695.761
PAc0008x	1	169201.345	9737513.404
PAc0009x	1	169118.281	9737125.284
PAc0010x	1	169054.701	9736728.956
PAc0011x	1	169910.158	9737746.078
PAc0012x	1	170093.037	9738684.016
PAc0013x	1	170551.287	9738891.304
PAc0014x	1	171488.158	9738771.842
PAc0015x	1	171879.267	9738997.816
PAc0016x	1	172290.367	9739103.85
PAc0017x	1	172319.176	9739625.919
PAc0018x	1	171988.091	9739982.946
PAc0019x	1	171855.149	9739565.262
PAc0020x	1	171181.5799	9740040.037
PAc0021x	1	169826.61	9739281.256
PAc0022x	1	169987.5599	9739858.614
PAc0023x	1	170566.787	9739841.212
PAc0024x	1	170444.668	9739339.6
PAm0001x	0	170378.97	9737289.124
PAm0002x	0	170775.329	9737261.23
PAm0003x	0	170938.803	9736880.44
PAm0004x	0	170568.6082	9736698.514
PAm0005x	0	170063.483	9736676.602
PAm0006x	0	171377.293	9740732.712
PAm0007x	0	171460.327	9741230.918
PAm0008x	0	172121.019	9741176.518
PAm0009x	0	172023.076	9740664.576
PAm0010x	0	169666.2192	9737342.749
PAm0011x	0	169755.9696	9738276.33
PAm0012x	0	169724.032	9738063.413
PAm0013x	0	169785.2456	9738489.247
PAm0014x	0	168760.5837	9738556.367
PAm0015x	0	169263.5995	9738667.564
PAm0016x	0	168885.6723	9738281.653
PAm0017x	0	169210.3704	9738273.668
PAm0018x	0	169300.86	9738071.398
PAm0019x	0	169151.8182	9737853.158
PAm0020x	0	171162.2899	9739450.403
PAm0021x	0	171149.2375	9739264.409
PAm0022x	0	170983.7641	9739371.807
PAm0023x	0	170980.3957	9739290.965
PAm0024x	0	170905.1679	9739479.596
QUm0001x	0	192833.582	9729478.946
QUm0002x	0	192860.179	9729896.226
QUm0003x	0	192210.809	9729170.036
QUm0004x	0	192284.033	9730135.26
QUm0005x	0	191870.393	9729793.791
QUm0006x	0	191547.853	9730704.07
QUm0007x	0	191117.219	9730249.457
QUm0008x	0	191033.335	9731092.759
